Item1,Item2,Item3,Item4,BestItem,WorstItem
313,182,307,345,307,345
313,182,307,345,182,345
586,515,309,786,515,786
586,515,309,786,515,786
586,515,309,786,515,786
591,543,356,279,543,356
591,543,356,279,279,591
591,543,356,279,279,591
115,615,128,634,128,615
115,615,128,634,115,634
115,615,128,634,115,615
985,269,624,420,269,420
985,269,624,420,985,269
985,269,624,420,269,624
90,114,744,341,90,744
90,114,744,341,90,744
90,114,744,341,90,744
549,811,445,619,445,811
549,811,445,619,549,811
549,811,445,619,549,619
421,23,950,946,946,421
421,23,950,946,946,421
421,23,950,946,23,421
626,702,154,9,154,702
626,702,154,9,9,702
878,861,282,335,282,335
878,861,282,335,878,861
336,273,4,791,4,791
336,273,4,791,273,791
691,44,666,1000,44,666
691,44,666,1000,44,691
818,365,693,900,818,693
818,365,693,900,365,693
989,570,251,225,989,570
989,570,251,225,225,989
406,389,790,874,389,790
406,389,790,874,389,790
406,389,790,874,389,790
768,448,398,594,398,448
768,448,398,594,398,448
768,448,398,594,398,768
797,457,898,904,457,797
797,457,898,904,457,904
797,457,898,904,457,797
248,19,833,63,248,19
248,19,833,63,19,833
248,19,833,63,19,833
717,405,1,290,290,405
717,405,1,290,290,717
717,405,1,290,290,717
873,510,971,745,510,971
873,510,971,745,873,971
873,510,971,745,510,971
391,728,434,986,391,986
391,728,434,986,728,434
391,728,434,986,986,434
500,249,720,982,249,720
500,249,720,982,982,500
500,249,720,982,982,720
374,106,896,77,77,896
374,106,896,77,374,896
374,106,896,77,77,374
90,53,271,997,90,53
90,53,271,997,90,271
90,53,271,997,90,271
868,498,266,987,266,868
868,498,266,987,987,266
868,498,266,987,498,868
102,991,466,284,284,991
102,991,466,284,102,466
102,991,466,284,284,991
686,569,566,446,566,569
686,569,566,446,566,446
686,569,566,446,686,446
350,430,530,200,200,530
350,430,530,200,200,530
350,430,530,200,430,350
933,809,272,10,10,933
933,809,272,10,10,809
611,12,130,977,130,611
611,12,130,977,12,611
395,277,350,925,277,395
395,277,350,925,277,925
364,4,586,636,636,364
364,4,586,636,586,364
204,595,643,674,204,643
204,595,643,674,204,674
601,774,906,982,982,774
601,774,906,982,982,601
132,213,467,539,132,539
132,213,467,539,132,539
132,213,467,539,213,467
686,21,483,966,21,966
686,21,483,966,686,966
686,21,483,966,483,966
260,920,271,763,260,920
260,920,271,763,260,763
260,920,271,763,260,763
921,110,25,803,803,921
921,110,25,803,803,921
921,110,25,803,25,110
520,775,5,160,160,520
520,775,5,160,160,520
520,775,5,160,160,775
673,558,641,359,558,673
673,558,641,359,558,673
673,558,641,359,558,673
962,749,541,566,749,566
962,749,541,566,566,541
962,749,541,566,566,962
342,564,150,619,342,619
342,564,150,619,342,150
342,564,150,619,342,619
646,312,156,263,263,312
646,312,156,263,263,156
646,312,156,263,156,312
804,134,668,742,134,804
804,134,668,742,134,804
804,134,668,742,134,742
986,120,433,478,120,433
986,120,433,478,120,986
986,120,433,478,478,433
502,354,192,378,502,378
502,354,192,378,502,378
502,354,192,378,502,192
869,164,533,723,533,723
869,164,533,723,533,869
869,164,533,723,533,164
244,747,617,236,244,236
244,747,617,236,244,236
244,747,617,236,244,747
317,548,411,705,317,705
317,548,411,705,548,411
323,798,816,840,323,798
323,798,816,840,323,840
459,290,930,111,459,930
459,290,930,111,290,111
232,730,2,867,232,730
232,730,2,867,232,867
204,894,663,923,204,663
204,894,663,923,204,923
4,160,827,906,160,906
4,160,827,906,4,906
478,425,390,497,390,478
478,425,390,497,390,425
478,425,390,497,390,478
855,772,247,641,247,772
855,772,247,641,247,855
855,772,247,641,641,855
491,813,157,183,183,813
491,813,157,183,183,813
491,813,157,183,183,813
624,223,169,852,169,223
624,223,169,852,169,624
624,223,169,852,223,624
896,95,585,292,95,896
896,95,585,292,585,896
896,95,585,292,292,896
626,11,917,897,11,626
626,11,917,897,11,897
626,11,917,897,11,626
821,784,976,250,976,250
821,784,976,250,976,784
821,784,976,250,976,784
212,804,384,604,212,804
212,804,384,604,604,804
212,804,384,604,604,804
115,22,686,520,686,520
115,22,686,520,115,520
115,22,686,520,115,520
671,136,283,229,671,283
671,136,283,229,229,283
671,136,283,229,229,136
407,358,138,831,138,831
407,358,138,831,138,407
407,358,138,831,138,831
506,211,849,359,506,849
506,211,849,359,506,849
506,211,849,359,506,849
67,670,700,360,360,670
67,670,700,360,67,700
67,670,700,360,360,67
969,682,507,596,507,682
969,682,507,596,596,682
969,682,507,596,596,969
97,329,462,848,329,848
97,329,462,848,329,462
11,259,598,859,11,598
11,259,598,859,11,859
476,959,707,222,476,707
476,959,707,222,476,707
206,788,984,356,206,788
206,788,984,356,206,788
447,61,575,514,447,514
447,61,575,514,447,575
786,176,588,331,176,588
786,176,588,331,588,786
485,21,370,730,21,730
485,21,370,730,21,370
485,21,370,730,485,730
142,944,392,537,142,392
142,944,392,537,142,944
142,944,392,537,392,944
922,281,658,15,15,281
922,281,658,15,15,281
922,281,658,15,15,281
282,81,587,236,282,81
282,81,587,236,587,236
282,81,587,236,282,587
801,858,911,748,911,858
801,858,911,748,911,801
801,858,911,748,911,801
536,818,637,314,818,536
536,818,637,314,818,637
536,818,637,314,818,536
466,948,401,898,401,898
466,948,401,898,401,898
466,948,401,898,401,466
406,354,623,718,354,623
406,354,623,718,354,623
406,354,623,718,354,623
963,294,885,830,294,830
963,294,885,830,294,830
963,294,885,830,294,830
714,692,10,533,10,714
714,692,10,533,10,533
714,692,10,533,10,692
220,457,767,968,457,767
220,457,767,968,457,968
220,457,767,968,457,767
978,390,6,16,390,978
978,390,6,16,978,16
978,390,6,16,390,978
223,338,263,615,338,615
223,338,263,615,338,615
223,338,263,615,263,223
837,708,602,775,708,837
837,708,602,775,708,602
837,708,602,775,708,837
358,572,796,766,572,358
358,572,796,766,796,358
431,282,891,690,431,891
431,282,891,690,431,891
57,261,893,410,261,410
57,261,893,410,57,261
721,882,587,154,721,154
721,882,587,154,587,721
721,882,587,154,154,587
284,956,250,121,121,284
284,956,250,121,284,956
284,956,250,121,956,250
597,260,586,346,260,586
597,260,586,346,597,586
597,260,586,346,597,346
812,278,902,847,902,812
812,278,902,847,278,812
812,278,902,847,902,812
20,832,461,970,461,832
20,832,461,970,20,832
20,832,461,970,970,832
186,667,412,435,412,186
186,667,412,435,667,186
186,667,412,435,667,186
272,348,293,841,272,293
272,348,293,841,841,293
272,348,293,841,272,348
939,115,503,35,115,503
939,115,503,35,503,939
939,115,503,35,115,939
714,748,958,300,714,748
714,748,958,300,714,748
714,748,958,300,748,958
474,232,930,968,474,968
474,232,930,968,232,474
474,232,930,968,232,474
598,875,501,208,501,875
598,875,501,208,501,598
598,875,501,208,875,208
982,403,856,491,982,856
982,403,856,491,982,856
982,403,856,491,982,856
682,26,446,508,508,682
682,26,446,508,26,682
682,26,446,508,508,682
551,185,592,603,592,185
551,185,592,603,592,603
551,185,592,603,592,603
428,767,255,117,117,428
428,767,255,117,117,767
428,767,255,117,255,767
27,780,493,259,27,780
27,780,493,259,259,493
27,780,493,259,259,780
611,443,415,681,415,681
611,443,415,681,415,681
611,443,415,681,415,681
938,334,679,382,938,679
938,334,679,382,679,382
212,395,812,138,138,812
212,395,812,138,138,812
120,612,361,232,120,361
120,612,361,232,232,361
791,697,147,429,697,791
791,697,147,429,147,791
791,697,147,429,147,791
882,46,590,434,46,882
882,46,590,434,46,882
882,46,590,434,46,434
685,860,992,323,992,685
685,860,992,323,992,685
685,860,992,323,323,860
825,663,987,389,987,663
825,663,987,389,389,987
825,663,987,389,825,663
577,690,680,338,338,680
577,690,680,338,338,680
577,690,680,338,338,680
803,467,821,37,803,821
803,467,821,37,467,821
803,467,821,37,37,821
694,193,490,396,490,396
694,193,490,396,490,396
694,193,490,396,490,396
636,11,365,22,11,636
636,11,365,22,11,636
636,11,365,22,365,636
123,797,251,563,563,797
123,797,251,563,563,797
123,797,251,563,563,797
587,110,857,509,509,587
587,110,857,509,509,587
587,110,857,509,110,587
898,936,466,849,466,849
898,936,466,849,466,898
898,936,466,849,466,849
213,784,433,333,213,784
213,784,433,333,213,784
213,784,433,333,333,784
166,470,4,314,4,166
166,470,4,314,4,166
166,470,4,314,314,166
188,318,25,689,318,689
188,318,25,689,318,25
188,318,25,689,318,689
620,375,263,531,263,620
620,375,263,531,263,531
620,375,263,531,263,531
287,494,79,209,79,287
287,494,79,209,79,287
287,494,79,209,79,209
346,487,412,692,412,692
346,487,412,692,412,487
346,487,412,692,412,487
531,107,68,431,107,531
531,107,68,431,107,431
415,610,99,863,99,863
415,610,99,863,99,863
852,223,807,704,704,852
852,223,807,704,704,852
700,165,413,159,159,413
700,165,413,159,165,700
700,165,413,159,165,700
152,503,712,494,503,712
152,503,712,494,503,712
152,503,712,494,503,712
27,592,14,573,592,573
27,592,14,573,14,573
27,592,14,573,592,573
977,142,920,783,977,783
977,142,920,783,142,783
977,142,920,783,977,783
97,685,331,12,12,685
97,685,331,12,12,97
97,685,331,12,12,685
232,37,633,656,232,656
232,37,633,656,232,656
232,37,633,656,37,656
172,379,93,484,172,484
172,379,93,484,172,484
172,379,93,484,172,484
764,748,994,673,764,673
764,748,994,673,994,764
764,748,994,673,748,764
893,767,52,785,893,52
893,767,52,785,893,785
893,767,52,785,893,767
475,24,433,109,24,433
475,24,433,109,24,475
475,24,433,109,24,433
758,33,955,655,33,758
758,33,955,655,33,758
758,33,955,655,33,758
323,860,552,140,552,140
323,860,552,140,552,860
323,860,552,140,552,140
846,168,776,689,168,689
846,168,776,689,168,689
846,168,776,689,168,689
741,659,799,403,403,741
741,659,799,403,403,659
741,659,799,403,403,659
161,966,397,540,540,966
161,966,397,540,161,540
161,966,397,540,397,966
724,262,667,153,153,667
724,262,667,153,262,724
724,262,667,153,262,667
330,613,375,265,330,265
330,613,375,265,265,375
330,613,375,265,330,265
984,397,973,828,397,828
984,397,973,828,397,828
53,987,222,648,53,648
53,987,222,648,53,222
954,691,762,594,954,762
954,691,762,594,594,762
299,19,889,259,19,259
299,19,889,259,259,299
299,19,889,259,259,299
50,860,240,371,50,371
50,860,240,371,240,50
50,860,240,371,240,860
296,99,253,84,99,84
296,99,253,84,253,296
296,99,253,84,99,296
32,498,888,185,32,888
32,498,888,185,32,888
32,498,888,185,32,888
381,551,703,2,551,381
381,551,703,2,2,703
381,551,703,2,551,381
194,320,76,124,320,194
194,320,76,124,124,320
194,320,76,124,194,320
220,482,794,151,482,794
220,482,794,151,220,794
220,482,794,151,151,794
443,232,335,95,443,335
443,232,335,95,232,443
443,232,335,95,232,335
782,727,36,752,782,727
782,727,36,752,36,727
782,727,36,752,782,727
252,352,592,504,592,352
252,352,592,504,592,504
252,352,592,504,592,352
578,894,654,477,477,654
578,894,654,477,578,477
578,894,654,477,477,654
45,400,403,685,400,45
45,400,403,685,400,45
45,400,403,685,400,45
735,779,698,974,698,735
735,779,698,974,974,735
735,779,698,974,698,735
226,880,523,206,523,226
226,880,523,206,523,880
226,880,523,206,206,226
993,23,644,451,993,451
993,23,644,451,993,451
993,23,644,451,644,993
68,474,701,221,68,701
68,474,701,221,68,474
68,474,701,221,68,701
96,108,580,663,96,580
96,108,580,663,96,663
96,108,580,663,96,663
978,974,525,238,974,978
978,974,525,238,238,978
863,240,528,907,240,863
863,240,528,907,240,907
761,399,879,427,427,879
761,399,879,427,427,879
499,305,898,285,499,305
499,305,898,285,285,305
499,305,898,285,499,898
924,370,85,374,85,370
924,370,85,374,374,370
924,370,85,374,85,370
577,300,165,635,165,300
577,300,165,635,635,165
577,300,165,635,635,577
986,716,143,404,404,716
986,716,143,404,986,716
986,716,143,404,716,143
723,690,661,424,424,661
723,690,661,424,723,661
723,690,661,424,424,661
653,487,104,747,104,653
653,487,104,747,747,487
653,487,104,747,104,487
44,611,828,634,44,828
44,611,828,634,44,634
44,611,828,634,44,828
503,873,984,830,503,830
503,873,984,830,503,873
503,873,984,830,503,830
167,10,69,455,167,455
167,10,69,455,10,69
167,10,69,455,167,455
496,735,242,91,91,496
496,735,242,91,91,735
496,735,242,91,91,735
3,135,298,950,3,135
3,135,298,950,3,135
3,135,298,950,3,135
517,152,83,605,517,605
517,152,83,605,517,605
517,152,83,605,517,605
581,555,155,928,555,928
581,555,155,928,555,928
581,555,155,928,555,928
271,312,330,993,330,271
271,312,330,993,993,312
271,312,330,993,271,312
742,255,122,354,122,742
742,255,122,354,122,742
742,255,122,354,255,742
282,432,33,486,432,282
282,432,33,486,432,486
282,432,33,486,33,486
638,430,790,564,430,638
638,430,790,564,430,790
638,430,790,564,430,638
617,588,804,357,588,804
617,588,804,357,357,804
409,329,378,94,329,378
409,329,378,94,329,409
765,483,635,533,533,635
765,483,635,533,483,765
50,888,156,459,459,50
50,888,156,459,459,156
997,29,438,104,997,104
997,29,438,104,997,438
793,309,640,237,309,237
793,309,640,237,640,793
877,355,463,478,355,463
877,355,463,478,355,463
266,299,755,146,266,299
266,299,755,146,266,299
92,795,964,486,92,486
92,795,964,486,486,964
92,795,964,486,92,486
651,886,779,817,779,651
651,886,779,817,779,651
651,886,779,817,779,651
95,693,852,425,425,852
95,693,852,425,95,425
95,693,852,425,425,852
680,109,936,949,109,680
680,109,936,949,109,936
680,109,936,949,949,680
848,207,82,88,88,848
848,207,82,88,88,848
848,207,82,88,207,82
775,488,806,482,775,806
775,488,806,482,488,806
775,488,806,482,482,775
862,702,951,205,205,862
862,702,951,205,951,702
862,702,951,205,205,702
940,37,342,353,342,37
940,37,342,353,342,353
940,37,342,353,342,940
720,769,543,733,733,769
720,769,543,733,720,769
720,769,543,733,543,720
696,851,845,307,307,851
696,851,845,307,851,845
696,851,845,307,845,851
209,665,694,168,168,209
209,665,694,168,168,665
209,665,694,168,168,665
593,826,118,529,529,826
593,826,118,529,529,826
593,826,118,529,118,826
459,482,574,762,482,762
459,482,574,762,459,762
952,159,586,818,586,818
952,159,586,818,952,586
313,366,310,282,313,310
313,366,310,282,313,310
156,532,922,534,532,156
156,532,922,534,922,156
784,999,345,930,999,784
784,999,345,930,930,784
876,175,862,869,175,869
876,175,862,869,175,876
746,669,493,373,493,746
746,669,493,373,746,669
240,995,973,929,995,929
240,995,973,929,240,973
998,897,934,405,405,934
998,897,934,405,934,897
998,897,934,405,934,998
780,115,438,75,115,780
780,115,438,75,75,780
780,115,438,75,75,780
824,65,275,971,275,971
824,65,275,971,275,971
824,65,275,971,275,971
965,603,236,815,815,236
965,603,236,815,965,236
965,603,236,815,815,965
68,247,253,385,68,385
68,247,253,385,68,385
68,247,253,385,253,385
184,251,264,908,908,251
184,251,264,908,184,251
184,251,264,908,184,908
249,651,323,721,249,721
249,651,323,721,249,651
249,651,323,721,323,651
703,271,956,879,956,271
703,271,956,879,271,956
703,271,956,879,956,879
169,895,112,268,169,895
169,895,112,268,268,895
169,895,112,268,268,895
208,191,329,230,230,208
208,191,329,230,329,208
208,191,329,230,329,208
186,498,507,606,507,606
186,498,507,606,186,606
186,498,507,606,507,186
556,608,220,723,220,608
556,608,220,723,220,556
556,608,220,723,723,556
376,465,853,348,376,853
376,465,853,348,376,465
844,149,523,372,523,844
844,149,523,372,149,844
739,786,420,988,988,739
739,786,420,988,988,739
916,198,928,866,916,866
916,198,928,866,916,928
178,217,259,328,259,328
178,217,259,328,259,328
990,821,588,564,588,990
990,821,588,564,564,990
796,524,612,919,524,796
796,524,612,919,524,919
533,630,775,189,533,630
533,630,775,189,533,630
122,370,275,964,122,370
122,370,275,964,122,370
122,370,275,964,122,370
765,805,972,480,480,972
765,805,972,480,805,765
765,805,972,480,805,765
363,470,291,968,470,363
363,470,291,968,291,968
363,470,291,968,470,363
459,382,526,447,447,382
459,382,526,447,526,382
459,382,526,447,526,459
657,306,816,191,306,657
657,306,816,191,306,657
657,306,816,191,306,657
148,84,548,386,84,386
148,84,548,386,84,548
148,84,548,386,386,148
25,992,611,472,992,611
25,992,611,472,992,611
25,992,611,472,992,472
236,933,672,411,672,933
236,933,672,411,411,933
236,933,672,411,411,236
996,267,187,725,267,996
996,267,187,725,267,725
996,267,187,725,267,725
64,247,7,541,7,541
64,247,7,541,7,247
64,247,7,541,247,541
709,854,616,243,854,709
709,854,616,243,243,709
709,854,616,243,243,854
73,558,726,264,558,726
73,558,726,264,558,726
73,558,726,264,558,726
587,690,605,961,587,690
587,690,605,961,605,587
626,426,619,251,626,426
626,426,619,251,626,619
675,528,751,519,751,675
675,528,751,519,675,519
111,806,451,137,137,806
111,806,451,137,111,806
103,749,871,347,749,347
103,749,871,347,103,871
70,389,933,904,70,933
70,389,933,904,389,933
493,341,285,494,285,494
493,341,285,494,493,341
650,684,714,421,714,421
650,684,714,421,650,421
942,141,161,485,161,485
942,141,161,485,485,141
942,141,161,485,161,141
307,74,713,992,74,713
307,74,713,992,992,713
307,74,713,992,992,713
460,3,227,452,227,460
460,3,227,452,3,460
460,3,227,452,3,452
415,104,72,304,304,72
415,104,72,304,415,72
415,104,72,304,304,72
1000,779,607,252,252,607
1000,779,607,252,252,607
1000,779,607,252,1000,607
464,241,52,896,464,896
464,241,52,896,464,241
464,241,52,896,464,896
825,508,433,853,508,433
825,508,433,853,825,433
825,508,433,853,825,433
401,988,663,429,401,988
401,988,663,429,401,429
401,988,663,429,401,988
787,495,361,165,495,787
787,495,361,165,495,787
787,495,361,165,495,361
402,275,542,843,275,843
402,275,542,843,275,843
402,275,542,843,542,843
868,739,392,174,174,868
868,739,392,174,174,868
868,739,392,174,174,868
758,959,376,568,376,758
758,959,376,568,376,959
758,959,376,568,376,758
331,210,817,512,210,817
331,210,817,512,331,817
191,117,150,291,117,150
191,117,150,291,117,150
710,859,308,594,308,859
710,859,308,594,308,859
173,200,782,780,200,780
173,200,782,780,200,780
948,842,114,523,114,842
948,842,114,523,523,948
632,799,39,845,632,799
632,799,39,845,632,799
326,6,961,214,326,961
326,6,961,214,214,961
767,550,912,683,912,767
767,550,912,683,912,767
500,277,574,602,277,574
500,277,574,602,574,500
500,277,574,602,574,277
18,544,647,865,18,647
18,544,647,865,544,647
18,544,647,865,544,18
172,322,466,587,172,322
172,322,466,587,172,587
172,322,466,587,172,587
905,345,181,545,545,345
905,345,181,545,905,345
905,345,181,545,905,345
462,781,185,460,460,781
462,781,185,460,460,781
462,781,185,460,460,185
689,561,474,871,561,689
689,561,474,871,561,689
689,561,474,871,871,474
40,521,910,929,40,910
40,521,910,929,521,910
40,521,910,929,910,929
560,966,649,668,560,649
560,966,649,668,560,649
560,966,649,668,560,966
220,824,590,959,590,824
220,824,590,959,590,824
220,824,590,959,590,824
209,199,847,469,199,847
209,199,847,469,209,847
209,199,847,469,469,847
70,128,101,280,70,280
70,128,101,280,128,280
70,128,101,280,70,128
748,571,64,107,107,571
748,571,64,107,107,748
748,571,64,107,107,571
731,181,635,477,181,477
731,181,635,477,477,731
111,977,611,316,977,611
111,977,611,316,977,611
328,119,326,151,326,328
328,119,326,151,119,328
292,909,947,684,909,684
292,909,947,684,292,684
495,897,190,529,529,897
495,897,190,529,495,190
463,716,158,57,57,463
463,716,158,57,57,463
56,983,638,436,56,638
56,983,638,436,56,638
56,983,638,436,56,638
12,702,816,801,12,801
12,702,816,801,12,702
12,702,816,801,12,702
472,522,271,743,522,472
472,522,271,743,271,522
472,522,271,743,522,743
177,600,645,223,177,645
177,600,645,223,177,645
177,600,645,223,177,600
544,805,760,140,544,760
544,805,760,140,805,760
544,805,760,140,805,760
238,726,622,919,238,726
238,726,622,919,238,726
238,726,622,919,238,919
756,67,958,971,67,971
756,67,958,971,67,971
756,67,958,971,67,971
733,474,332,757,332,757
733,474,332,757,332,757
733,474,332,757,733,474
601,508,533,969,508,601
601,508,533,969,533,601
601,508,533,969,508,601
643,289,6,841,841,289
643,289,6,841,6,289
643,289,6,841,6,289
286,47,951,139,47,286
286,47,951,139,47,286
286,47,951,139,139,47
596,922,880,322,596,880
596,922,880,322,922,880
596,922,880,322,596,880
807,649,201,362,649,362
807,649,201,362,649,807
807,649,201,362,201,807
391,306,631,64,306,631
391,306,631,64,306,631
391,306,631,64,64,391
670,882,786,428,670,786
670,882,786,428,670,882
128,751,72,439,751,72
128,751,72,439,439,751
787,331,538,421,538,421
787,331,538,421,331,538
761,915,933,635,635,933
761,915,933,635,915,933
807,393,602,231,393,807
807,393,602,231,393,807
467,406,814,204,204,814
467,406,814,204,204,814
569,263,217,890,217,890
569,263,217,890,263,890
569,263,217,890,217,890
646,596,707,55,596,646
646,596,707,55,596,707
